Designator,Mid X,Mid Y,Rotation,Layer
Q26,97.8725,-106.8635,0.0,top
Q27,136.8725,-103.2635,0.0,top
Q28,136.8725,-106.8635,0.0,top
Q29,175.8725,-103.2635,0.0,top
Q3,100.9125,-35.1875,0.0,top
Q30,175.8725,-106.8635,0.0,top
Q31,214.8725,-103.2635,0.0,top
Q32,214.8725,-106.8635,0.0,top
Q33,253.8725,-103.2635,0.0,top
Q34,253.8725,-106.8635,0.0,top
Q35,58.8725,-136.2635,0.0,top
Q36,58.8725,-139.8635,0.0,top
Q37,97.8725,-136.2635,0.0,top
Q38,97.8725,-139.8635,0.0,top
Q39,136.8725,-136.2635,0.0,top
Q40,136.8725,-139.8635,0.0,top
Q41,175.8725,-136.2635,0.0,top
Q42,175.8725,-139.8635,0.0,top
Q43,214.8725,-136.2635,0.0,top
Q44,214.8725,-139.8635,0.0,top
Q8,253.8725,-136.2635,0.0,top
Q9,253.8725,-139.8635,0.0,top
R12,86.9125,-30.6375,180.0,top
R14,240.3125,-130.5875,180.0,top
R15,249.5625,-134.0375,270.0,top
R16,96.2625,-32.6775,270.0,top
R17,99.3325,-45.5275,270.0,top
R18,104.9125,-32.9875,90.0,top
R19,251.8625,-146.3875,270.0,top
R20,257.6225,-134.1885,90.0,top
R21_2,45.3125,-64.5875,180.0,top
R21,45.3125,-31.5875,180.0,top
R22_2,54.5625,-35.0375,270.0,top
R22,54.5625,-68.0375,270.0,top
R23_2,56.8625,-47.3875,270.0,top
R23,56.8625,-80.3875,270.0,top
R24_2,62.6225,-68.1885,90.0,top
R24,62.6225,-35.1885,90.0,top
R25,84.3125,-64.5875,180.0,top
R26,93.5625,-68.0375,270.0,top
R27,95.8625,-80.3875,270.0,top
R28,101.6225,-68.1885,90.0,top
R29_3,162.3125,-64.5875,180.0,top
R29_2,123.3125,-64.5875,180.0,top
R29,201.3125,-64.5875,180.0,top
R30_3,171.5625,-68.0375,270.0,top
R30_2,132.5625,-68.0375,270.0,top
R30,210.5625,-68.0375,270.0,top
R31,91.8025,-53.4075,180.0,top
R32,87.2425,-49.5075,270.0,top
R33_3,173.8625,-80.3875,270.0,top
R33_2,212.8625,-80.3875,270.0,top
R33,134.8625,-80.3875,270.0,top
R34_3,179.6225,-68.1885,90.0,top
R34_2,218.6225,-68.1885,90.0,top
R34,140.6225,-68.1885,90.0,top
R43,240.3125,-64.5875,180.0,top
R44,249.5625,-68.0375,270.0,top
R45,251.8625,-80.3875,270.0,top
R46,257.6225,-68.1885,90.0,top
R47,45.3125,-97.5875,180.0,top
R48,54.5625,-101.0375,270.0,top
R49,56.8625,-113.3875,270.0,top
R50,62.6225,-101.1885,90.0,top
R51,84.3125,-97.5875,180.0,top
R52,93.5625,-101.0375,270.0,top
R53,95.8625,-113.3875,270.0,top
R54,101.6225,-101.1885,90.0,top
R55,123.3125,-97.5875,180.0,top
R56,132.5625,-101.0375,270.0,top
R57,134.8625,-113.3875,270.0,top
R58,140.6225,-101.1885,90.0,top
R59,162.3125,-97.5875,180.0,top
R60,171.5625,-101.0375,270.0,top
R61,173.8625,-113.3875,270.0,top
R62,179.6225,-101.1885,90.0,top
R63,201.3125,-97.5875,180.0,top
R64,210.5625,-101.0375,270.0,top
R65,212.8625,-113.3875,270.0,top
R66,218.6225,-101.1885,90.0,top
R67,240.3125,-97.5875,180.0,top
R68,249.5625,-101.0375,270.0,top
R69,251.8625,-113.3875,270.0,top
R70,257.6225,-101.1885,90.0,top
R71,45.3125,-130.5875,180.0,top
R72,54.5625,-134.0375,270.0,top
R73,56.8625,-146.3875,270.0,top
R74,62.6225,-134.1885,90.0,top
R75,84.3125,-130.5875,180.0,top
R76,93.5625,-134.0375,270.0,top
R77,95.8625,-146.3875,270.0,top
R78,101.6225,-134.1885,90.0,top
R79,123.3125,-130.5875,180.0,top
R80,132.5625,-134.0375,270.0,top
R81,134.8625,-146.3875,270.0,top
R82,140.6225,-134.1885,90.0,top
R83,89.7525,-49.5375,270.0,top
R84,91.8125,-55.9375,180.0,top
R85,162.3125,-130.5875,180.0,top
R86,171.5625,-134.0375,270.0,top
R87,173.8625,-146.3875,270.0,top
R88,179.6225,-134.1885,90.0,top
R89,201.3125,-130.5875,180.0,top
R90,210.5625,-134.0375,270.0,top
R91,212.8625,-146.3875,270.0,top
R92,218.6225,-134.1885,90.0,top
U10,85.6125,-54.05,0.0,top
U11,255.3625,-148.2,0.0,top
U12_2,45.4625,-37.6785,90.0,top
U12,45.4625,-70.6785,90.0,top
U13_2,60.3625,-82.2,0.0,top
U13,60.3625,-49.2,0.0,top
U14,84.4625,-70.6785,90.0,top
U15,99.3625,-82.2,0.0,top
U16_3,201.4625,-70.6785,90.0,top
U16_2,162.4625,-70.6785,90.0,top
U16,123.4625,-70.6785,90.0,top
U17_3,177.3625,-82.2,0.0,top
U17_2,138.3625,-82.2,0.0,top
U17,216.3625,-82.2,0.0,top
U22,240.4625,-70.6785,90.0,top
U23,255.3625,-82.2,0.0,top
U24,45.4625,-103.6785,90.0,top
U25,60.3625,-115.2,0.0,top
U26,84.4625,-103.6785,90.0,top
U27,99.3625,-115.2,0.0,top
U28,123.4625,-103.6785,90.0,top
U29,138.3625,-115.2,0.0,top
U30,162.4625,-103.6785,90.0,top
U31,177.3625,-115.2,0.0,top
U32,201.4625,-103.6785,90.0,top
U33,216.3625,-115.2,0.0,top
U34,240.4625,-103.6785,90.0,top
U35,255.3625,-115.2,0.0,top
U36,45.4625,-136.6785,90.0,top
U37,60.3625,-148.2,0.0,top
U38,84.4625,-136.6785,90.0,top
U39,99.3625,-148.2,0.0,top
U40,123.4625,-136.6785,90.0,top
U41,138.3625,-148.2,0.0,top
U42,162.4625,-136.6785,90.0,top
U43,177.3625,-148.2,0.0,top
U44,201.4625,-136.6785,90.0,top
U45,216.3625,-148.2,0.0,top
U7,86.9925,-35.0575,90.0,top
U8,102.8425,-47.21,0.0,top
U9,240.4625,-136.6785,90.0,top
