Application,Motor Type,Rated Voltage ,Bus Voltage,Bus Voltage Clamp,Bus Capacitor,Regulated Bus,Line Frequency (Hz),Rated Speed (RPM),Rotor Poles,Rs (Ohms),Rr (Ohms),Rd,Rq,Lm (Henries),Lls (Henries),Llr (Henries),Lsd (Henries),Lsq (Henries),Lr (Henries),L Series (Henries),Id ref Current,Back-EMF Const. (V-s/el-rad),Motor Inertia (Kg-meter^2),Load Inertia (Kg-meter^2),Damping Factor,K,Auto Field Weakening,Current Regulator Decoupling Enable,Field Weakening Current Slew,Measurement Error (%),Parameter Estimation Error (%),Kp,Ki,Maximum current,Maximum Speed (RPM),Encoder Resolution (Quad counts/rev.),Ka,Kb_d,Kb_q,Speed filter pole (rad/sec),Input Speed vs. Time Profile,Input Speed Scale,Load Torque vs. Angle Profile,Load Angle Divisor,Load Torque vs. Speed Profile,Load Speed Multiplier,Load Torque vs. Time Profile,Angle-Speed Torque Scale,Time Torque Scale
Eaton 40 HP ACIM / Compressor,0,460,650.5382387,845.6997103,2.00E-03,0,60,1780,4,0.082,0.077,0.082,0.159,0.0272,0.00115,0.00157,0.02835,0.02835,0.02877,0.002634324,35.14212508,0,0.02,0.2,8,12.3232296,1,1,0.08,0.2,1,2.535861215,9.905707872,160,3000,2000,1.317161974,31.12753086,60.35704154,250,1,2500,1,1,1,2500,0,400,1
Eaton 40 HP ACIM / Pump,0,460,650.5382387,845.6997103,2.00E-03,0,60,1780,4,0.082,0.077,0.082,0.159,0.0272,0.00115,0.00157,0.02835,0.02835,0.02877,0.002634324,35.14212508,0,0.02,0.2,6,12.3232296,1,1,0.08,0.2,1,3.381148287,23.48019644,160,3000,2000,1.317161974,31.12753086,60.35704154,250,1,2500,0,1,2,2500,0,140,1
Eaton 40 HP ACIM / Blower,0,460,650.5382387,845.6997103,2.00E-03,0,60,1780,4,0.082,0.077,0.082,0.159,0.0272,0.00115,0.00157,0.02835,0.02835,0.02877,0.002634324,35.14212508,0,0.02,0.3,8,8.472220353,1,1,0.08,0.2,1,3.688525404,14.40830236,160,3000,2000,1.317161974,31.12753086,60.35704154,250,1,2500,2,1,3,2500,0,140,1
Eaton 40 HP ACIM / Conveyor Belt,0,460,650.5382387,845.6997103,2.00E-03,0,60,1780,4,0.082,0.077,0.082,0.159,0.0272,0.00115,0.00157,0.02835,0.02835,0.02877,0.002634324,35.14212508,0,0.02,0.15,3,15.9477089,1,1,0.02,0.2,1,5.225410989,145.1503052,160,3000,2000,1.317161974,31.12753086,60.35704154,250,5,20,0,1,0,1,1,0,10
Eaton 40 HP ACIM / Punch Press,0,460,650.5382387,845.6997103,2.00E-03,0,60,1780,4,0.082,0.077,0.082,0.159,0.0272,0.00115,0.00157,0.02835,0.02835,0.02877,0.002634324,35.14212508,0,0.02,0.5,4,5.213674063,1,1,0.02,0.2,1,11.98770756,187.3079307,160,3000,2000,1.317161974,31.12753086,60.35704154,250,5,1500,0,1,0,1,2,0,350
Eaton 100 HP ACIM / Conpressor,0,460,650.5382387,845.6997103,1.00E-02,0,60,1700,4,0.01,0.015,0.01,0.025,0.007958,0.000265,0.000265,0.008223,0.008223,0.008223,0.00052146,121.1576366,0,0.05,0.5,8,5.089638509,1,1,0.15,0.2,1,6.139925251,23.98408301,400,3000,2000,0.260729965,19.17692892,47.94232229,250,1,2500,1,1,1,2500,0,1000,1
Eaton 100 HP ACIM / Pump,0,460,650.5382387,845.6997103,1.00E-02,0,60,1700,4,0.01,0.015,0.01,0.025,0.007958,0.000265,0.000265,0.008223,0.008223,0.008223,0.00052146,121.1576366,0,0.05,0.5,6,5.089638509,1,1,0.15,0.2,1,8.186567001,56.85115973,400,3000,2000,0.260729965,19.17692892,47.94232229,250,1,2500,0,1,2,2500,0,800,1
Eaton 100 HP ACIM / Blower,0,460,650.5382387,845.6997103,1.00E-02,0,60,1700,4,0.01,0.015,0.01,0.025,0.007958,0.000265,0.000265,0.008223,0.008223,0.008223,0.00052146,121.1576366,0,0.05,0.7,8,3.732401573,1,1,0.15,0.2,1,8.372625342,32.70556774,400,3000,2000,0.260729965,19.17692892,47.94232229,250,1,2500,2,1,3,2500,0,600,1
Eaton 100 HP ACIM / Conveyor Belt,0,460,650.5382387,845.6997103,1.00E-02,0,60,1700,4,0.01,0.015,0.01,0.025,0.007958,0.000265,0.000265,0.008223,0.008223,0.008223,0.00052146,121.1576366,0,0.05,0.7,3,3.732401573,1,1,0.02,0.2,1,22.32700091,620.1944698,400,3000,2000,0.260729965,19.17692892,47.94232229,250,5,100,0,1,0,1,1,0,340
Eaton 100 HP ACIM / Punch Press,0,460,650.5382387,845.6997103,1.00E-02,0,60,1700,4,0.01,0.015,0.01,0.025,0.007958,0.000265,0.000265,0.008223,0.008223,0.008223,0.00052146,121.1576366,0,0.05,1,4,2.666001124,1,1,0.02,0.2,1,23.44335096,366.3023587,400,3000,2000,0.260729965,19.17692892,47.94232229,250,5,200,0,1,0,1,2,0,800
Baldor 200V PMSM / Compressor,1,200,200,260,0.005,0,60,0,4,0.416,0,0.416,0.416,0,0,0,0.001365,0.001365,1,0.001365,0,0.0957,0.001,0.006,3,41.01428571,1,1,0.5,0.2,1,2.031812377,56.43923268,30,8000,2000,0.6825,304.7619048,304.7619048,250,1,7000,1,1,1,7000,0,20,1
Baldor 200V PMSM / Pump,1,200,200,260,0.02,0,60,0,4,0.416,0,0.416,0.416,0,0,0,0.001365,0.001365,1,0.001365,0,0.0957,0.001,0.006,10,41.01428571,1,1,0.5,0.2,1,0.609543713,1.523859282,30,8000,2000,0.6825,304.7619048,304.7619048,250,1,8000,0,1,2,8000,0,5,1
Baldor 200V PMSM / Blower,1,200,200,260,0.008,0,60,0,4,0.416,0,0.416,0.416,0,0,0,0.001365,0.001365,1,0.001365,0,0.0957,0.001,0.01,10,26.1,1,1,0.5,0.2,1,0.957854406,2.394636015,30,8000,2000,0.6825,304.7619048,304.7619048,250,1,7000,2,1,3,7000,0,2,1
Baldor 200V PMSM / Conveyor Belt,1,200,200,260,0.0005,0,60,0,4,0.416,0,0.416,0.416,0,0,0,0.001365,0.001365,1,0.001365,0,0.0957,0.001,0.008,3,31.9,1,0,0.5,0.2,1,1.567398119,26.12330199,30,8000,8192,0.4095,304.7619048,304.7619048,150,5,500,0,1,0,1,1,0,4
Baldor 200V PMSM / Treadmill,1,200,200,260,0.008,0,60,0,4,0.416,0,0.416,0.416,0,0,0,0.001365,0.001365,1,0.001365,0,0.0957,0.001,0.006,8,41.01428571,1,1,0.5,0.2,1,0.761929641,2.976287661,30,8000,2000,0.6825,304.7619048,304.7619048,250,2,7000,3,20,0,1,0,2,1
Baldor BSM90M-2150 PMSM Servo / Compressor,1,650,650,845,0.002,0,60,0,8,0.985,0,0.985,0.985,0,0,0,0.00525,0.00525,1,0.00525,0,0.213,0.0002,0.01,8,125.2941176,1,1,0.05,0.2,1,0.249413146,0.9742701,22,8000,8192,2.625,187.6190476,187.6190476,250,1,5000,1,1,1,5000,0,35,1
